Sat May 31 12:36:27 2025    mdetector_profile.prof

         50447367 function calls (50277928 primitive calls) in 55949.437 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35612    0.024    0.000    0.055    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:77(represent_scalar)
      253    0.001    0.000    0.052    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1591(handle)
      253    0.003    0.000    0.050    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1645(callHandlers)
      117    0.001    0.000    0.048    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1160(__iter__)
    20068    0.025    0.000    0.048    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:814(write_indent)
      253    0.001    0.000    0.048    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:939(handle)
      986    0.002    0.000    0.047    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:156(fetch_more_tokens)
      365    0.045    0.000    0.045    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      253    0.001    0.000    0.045    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1178(emit)
        1    0.000    0.000    0.045    0.045 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:668(_help_stuff_finish)
      253    0.003    0.000    0.044    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1071(emit)
      696    0.040    0.000    0.041    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/dataset.py:682(__init__)
      396    0.001    0.000    0.041    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:427(parse_block_mapping_key)
        1    0.000    0.000    0.040    0.040 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/src/config_loader.py:6(__init__)
        1    0.000    0.000    0.039    0.039 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/scripts/run_mdetector_and_save.py:293(load_base_config)
      352    0.001    0.000    0.039    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:386(disp_trim)
   112329    0.038    0.000    0.038    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      122    0.000    0.000    0.038    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/contextlib.py:114(__enter__)
     7656    0.009    0.000    0.037    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:171(represent_float)
      696    0.004    0.000    0.035    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/base.py:102(array_for_new_object)
    21228    0.007    0.000    0.033    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:147(represent_str)
    27206    0.032    0.000    0.032    0.000 {method 'match' of 're.Pattern' objects}
    36232    0.031    0.000    0.031    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/nodes.py:27(__init__)
39324/116    0.024    0.000    0.031    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/serializer.py:60(anchor_node)
    14268    0.020    0.000    0.030    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:133(need_events)
    39324    0.024    0.000    0.028    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:146(increase_indent)
      253    0.002    0.000    0.027    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1550(makeRecord)
    19952    0.022    0.000    0.026    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:800(write_indicator)
      253    0.015    0.000    0.025    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:282(__init__)
     1301    0.025    0.000    0.025    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    39324    0.015    0.000    0.024    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:136(ignore_aliases)
     1520    0.002    0.000    0.024    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:194(inner)
     1044    0.002    0.000    0.024    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:376(expect_block_sequence_item)
     4409    0.015    0.000    0.023    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/posixpath.py:71(join)
   152196    0.023    0.000    0.023    0.000 {built-in method unicodedata.east_asian_width}
      468    0.002    0.000    0.023    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:451(fp_write)
      338    0.001    0.000    0.023    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:446(parse_block_mapping_value)
      986    0.007    0.000    0.022    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:752(scan_to_next_token)
   115822    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
    19952    0.018    0.000    0.021    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:827(write_line_break)
      253    0.001    0.000    0.021    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1060(flush)
      253    0.002    0.000    0.020    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:916(format)
    36232    0.020    0.000    0.020    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/events.py:65(__init__)
   124534    0.019    0.000    0.019    0.000 {method 'pop' of 'list' objects}
      116    0.002    0.000    0.019    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1309(clear)
   154866    0.019    0.000    0.019    0.000 {method 'get' of 'dict' objects}
    35612    0.019    0.000    0.019    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:18(__init__)
      187    0.018    0.000    0.018    0.000 <frozen importlib._bootstrap>:398(parent)
      253    0.002    0.000    0.018    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:650(format)
      586    0.001    0.000    0.017    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:668(fetch_plain)
    16906    0.014    0.000    0.016    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/reader.py:99(forward)
      116    0.015    0.000    0.015    0.000 {method 'view' of 'numpy.ndarray' objects}
     1856    0.002    0.000    0.014    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/nuscenes.py:130(table_root)
      586    0.005    0.000    0.014    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:1270(scan_plain)
      696    0.010    0.000    0.013    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/base.py:73(guess_dtype)
    19256    0.013    0.000    0.013    0.000 {built-in method builtins.sorted}
      676    0.001    0.000    0.012    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
    39324    0.012    0.000    0.012    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:459(process_anchor)
      690    0.003    0.000    0.011    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:273(parse_node)
      348    0.000    0.000    0.011    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:373(expect_first_block_sequence_item)
     2214    0.006    0.000    0.011    0.000 {method 'format' of 'str' objects}
      696    0.009    0.000    0.011    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/filters.py:151(fill_dcpl)
      253    0.002    0.000    0.010    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:582(formatTime)
     4988    0.003    0.000    0.009    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:164(represent_int)
      352    0.006    0.000    0.009    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1446(format_dict)
     8358    0.004    0.000    0.008    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:145(need_more_tokens)
    40008    0.008    0.000    0.008    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/resolver.py:114(ascend_resolver)
     1626    0.004    0.000    0.007    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/_bootlocale.py:33(getpreferredencoding)
    40008    0.007    0.000    0.007    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/resolver.py:91(descend_resolver)
       56    0.001    0.000    0.007    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:179(Process)
      701    0.006    0.000    0.007    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:400(format_interval)
      253    0.004    0.000    0.006    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1514(findCaller)
       56    0.004    0.000    0.006    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:80(__init__)
      696    0.004    0.000    0.006    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/base.py:173(_e)
     1644    0.006    0.000    0.006    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:231(__call__)
    32852    0.005    0.000    0.005    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/reader.py:87(peek)
      244    0.002    0.000    0.005    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/_weakrefset.py:63(__iter__)
      116    0.000    0.000    0.005    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:214(expect_document_end)
      232    0.000    0.000    0.005    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:788(flush_stream)
     3364    0.002    0.000    0.005    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:388(expect_block_mapping)
     4897    0.003    0.000    0.005    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/posixpath.py:41(_get_sep)
     7424    0.005    0.000    0.005    0.000 {built-in method builtins.repr}
    52675    0.004    0.000    0.004    0.000 {built-in method builtins.id}
       56    0.002    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:61(_cleanup)
      352    0.004    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:186(__format__)
      704    0.003    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:273(_is_ascii)
      116    0.003    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/compat.py:17(filename_encode)
      348    0.000    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:191(represent_list)
      232    0.002    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1441(moveto)
      369    0.002    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/posixpath.py:140(basename)
      253    0.004    0.000    0.004    0.000 {built-in method time.strftime}
     1626    0.004    0.000    0.004    0.000 {built-in method _locale.nl_langinfo}
       56    0.001    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:128(terminate)
      348    0.001    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:85(represent_sequence)
      122    0.001    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/contextlib.py:261(helper)
      586    0.001    0.000    0.004    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:1311(scan_plain_spaces)
    19375    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
      364    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:102(acquire)
    20009    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
      253    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/posixpath.py:117(splitext)
      620    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/composer.py:88(compose_scalar_node)
      253    0.003    0.000    0.003    0.000 {built-in method time.localtime}
       56    0.000    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:153(is_alive)
